paperId,title,dbCitations
09c5293b647fca40fde28ac6c38737f07e873e41,DryadLINQ: A System for General-Purpose Distributed Data-Parallel Computing Using a High-Level Language,37
8388f1be26329fa45e5807e968a641ce170ea078,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,36
888764f05a60d770cfc0b49944308fd92ed45ee5,"How Good Are Query Optimizers, Really",36
e75c5d1b7ecd71cd9f1fdc3d07f56290517ef1e5,HyPer: A hybrid OLTPOLAP main memory database system based on virtual memory snapshots,36
e1f3c9b4da3c84ef47d357140e842d44056c8a98,Optimal aggregation algorithms for middleware,35
3e375c8d996b8c46c83b9d3f72732d7477e5fd86,Mesos: A Platform for Fine-Grained Resource Sharing in the Data Center,35
67a2b9626157fecdef525c0d25bf7b051388a3a4,Robust chemical preservation of digital information on DNA in silica with error-correcting codes.,35
d42b11ce90c9c69a20ed015b73dc33e0e4100a7b,Equality of Opportunity in Supervised Learning,34
5c8fe9a0412a078e30eb7e5eeb0068655b673e86,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,33
4cd96001b51a949e7504864ff576dddab9b166cc,Hekaton: SQL servers memory-optimized OLTP engine,33
2e74388f55f2cc704c4de410578887a53a9433b0,Similarity Search in High Dimensions via Hashing,32
ed8f6a72bd8903078cfaef866ca7d71e12c5b8f1,Dryad: distributed data-parallel programs from sequential building blocks,32
8e773b1840b894603c06b677a0f15ebcf0f26378,Spider: A Large-Scale Human-Labeled Dataset for Complex and Cross-Domain Semantic Parsing and Text-to-SQL Task,31
2dfeb5a90abc49ab2a80a492a01a4e2c8e92ec22,In-datacenter performance analysis of a tensor processing unit,31
ada0b87cd5c30d31186c38fb12e631d29426a3bf,Spark SQL: Relational Data Processing in Spark,31
d891dc72cbd40ffaeefdc79f2e7afe1e530a23ad,Intriguing properties of neural networks,31
4c7bfa933c11c7a802c2fa9c1dc475dba36a2bd5,Hive - a petabyte scale data warehouse using Hadoop,31
dc6ac3437f0a6e64e4404b1b9d188394f8a3bf71,Deep Inside Convolutional Networks: Visualising Image Classification Models and Saliency Maps,31
1b6e810ce0afd0dd093f789d2b2742d047e316d5,Chain of Thought Prompting Elicits Reasoning in Large Language Models,31
fff114cbba4f3ba900f33da574283e3de7f26c83,DeepWalk: online learning of social representations,30
24cad9705ccc13fce969021a708ca703db3ae31c,LEO - DB2s LEarning Optimizer,30
e4ce10063cd25447dcde75c2d9ce327446ced952,Calibrating Noise to Sensitivity in Private Data Analysis,30
10d6778bc45aebcd58d336b4062b935861d2fe8a,The Anatomy of a Large-Scale Hypertextual Web Search Engine,30
8c04f169203f9e55056a6f7f956695babe622a38,Distinctive Image Features from Scale-Invariant Keypoints,30
4a1b5343a034bc72aa636a743b8bd8bc18812cce,An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,29
ea8bffcb56a412cf8843631c96797adf3b769aa8,High-order entropy-compressed text indexes,29
0fee3b6c72f7676b4934651e517d0a328048c600,Certifying and Removing Disparate Impact,29
287050dc91b146768c9d4435e5582fc9975ba84c,Learned Cardinalities: Estimating Correlated Joins with Deep Learning,29
0539535989147bc7033f4a34931c7b8e17f1c650,The Case for Learned Index Structures,29
3c8a456509e6c0805354bd40a35e3f2dbf8069b1,"PyTorch: An Imperative Style, High-Performance Deep Learning Library",29
36f49b05d764bf5c10428b082c2d96c13c4203b9,Hogwild: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent,28
571b0750085ae3d939525e62af510ee2cee9d5ea,Improved Techniques for Training GANs,28
4b6451abebe1810c5c7cbaca71544cbf85095c23,"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases",28
442e10a3c6640ded9408622005e3c2a8906ce4c2,A Unified Approach to Interpreting Model Predictions,28
ec07db22a7906ab30fdfb50dafdccc27955aaeb6,Efficiently Compiling Efficient Query Plans for Modern Hardware,27
3efd851140aa28e95221b55fcc5659eea97b172d,The Graph Neural Network Model,27
eab5b35c52177b4f20c80b346ac9b623264d910e,Automated Selection of Materialized Views and Indexes in SQL Databases,27
451d4a16e425ecbf38c4b1cca0dcf5d9bec8255c,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,27
ed6297433cfc580837e87592f550cc96296c7d0a,Inherent Trade-Offs in the Fair Determination of Risk Scores,27
4a0bb4eece00f3e9445d1a0d933422aa408ce8d1,Apache Hadoop YARN: yet another resource negotiator,26
5ba52bbe1101939c490a06cc0cf316a09000834e,Neo: A Learned Query Optimizer,26
6f556cfb6da2e07de1bce8960a698d26164ebbb2,Efficient Retrieval of the Top-k Most Relevant Spatial Web Objects,26
41456f868a11dc9367cfdea1227138e546b14829,Efficient Retrieval of Similar Time Sequences Using DFT,26
492f57ee9ceb61fb5a47ad7aebfec1121887a175,Gated Graph Sequence Neural Networks,26
0ad8e89091eed09217e66adc98136126addc2619,PowerGraph: Distributed Graph-Parallel Computation on Natural Graphs,26
8605efd48eab192b78f1f666ffd7fba6744494e1,Database Cracking,26
98ca08bdb4092d59ef6efcedf8003239f89cf58f,Naiad: a timely dataflow system,26
29946f1724104a47d73ab9c88cde129505b66ee5,Fast Algorithms for Mining Association Rules in Large Databases,26
09b17d2ea600fea95a440e22f2ffdc2d63c47744,The Bw-Tree: A B-tree for new hardware platforms,26
1976c9eeccc7115d18a04f1e7fb5145db6b96002,Freebase: a collaboratively created graph database for structuring human knowledge,25
d766bffc357127e0dc86dd69561d5aeb520d6f4c,Training language models to follow instructions with human feedback,25
070f03f5e8b016628903c56a0011e810d0914d73,Eddies: continuously adaptive query processing,25
71ef214efae92e788b4020358d23d83525ab193e,Why and Where: A Characterization of Data Provenance,25
9819b600a828a57e1cde047bbe710d3446b30da5,Recurrent neural network based language model,25
8ce4c0ee315d86f32ec7354ccdf8d8996e8ee270,The Hadoop Distributed File System,25
d04d6db5f0df11d0cff57ec7e15134990ac07a4f,Learning Deep Architectures for AI,25
18b89ae68d587b5150fbf2e933bcbc1c3404bee9,A comparison of approaches to large-scale data analysis,24
6a9fa4c579bfd4fe4b1b06f384b946c5c28e1c47,Automatic Database Management System Tuning Through Large-scale Machine Learning,24
df493d2feda5e3e96084bec640a3b956485d9d05,Compressed full-text indexes,24
66c797950b9b61b9019de53609218723c953acc7,A Space-Economical Suffix Tree Construction Algorithm,24
1337a72073e2c80da6e53b776ccb469d5abb0579,Suffix arrays: a new method for on-line string searches,24
