conferenceName,paperTitle,citations
IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),Big data stream computing in healthcare real-time analytics,102
IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),Group learning analysis and individual learning diagnosis from the perspective of Big Data,4
IEEE International Conference on Communication Software and Networks,Innovation capacity appraisal of junior college engineering students based on AHP-TOPSIS,5
"IEEE International Conference on Communication, Networks and Satellite (COMNESTAT)",Secure data dissemination in VANET - a pull based approach,10
IEEE International Conference on Current Trends in Advanced Computing (ICCTAC),Imputing the missing data in IoT based on the spatial and temporal correlation,21
"IEEE International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)",Neural Networks And Machine Learning,85
IEEE International Conference on Electronic Information and Communication Technology,An Adaptive Data Redundancy Strategy in Cloud Storage,1
IEEE International Conference on Electronic Measurement & Instruments,Design and application of magnetoelectric composite heterogeneous field multi-function sensor,4
IEEE International Conference on Electronics Information and Emergency Communication,Prototypical Siamese Networks for Few-shot Learning,98
IEEE International Conference on Electronics and Nanotechnology,Optimization of Data Processing of Primary Radar Systems,3
"IEEE International Conference on Electronics, Computing and Communication Technologies",Experimentation and analysis of time series data from multi-path robotic environment,8
IEEE International Conference on Engineering Technologies and Applied Sciences (ICETAS),Performance of the ETL processes in terms of volume and velocity in the cloud: State of the art,7
IEEE International Conference on Engineering Technologies and Applied Sciences (ICETAS),Optical Detection of Dissolved Solids in Water Samples,5
IEEE International Conference on Industrial Informatics,SOA at device level in the industrial domain: Assessment of OPC UA and DPWS specifications,92
IEEE International Conference on Innovative Research and Development (ICIRD),Variety of data in the ETL processes in the cloud: State of the art,21
IEEE International Conference on Intelligent Computing and Intelligent Systems,Outlier detection from massive short documents using domain ontology,8
IEEE International Conference on Pervasive Services,Concealed Data Aggregation in Heterogeneous Sensor Networks using Privacy Homomorphism,56
"IEEE International Conference on Power, Control, Signals and Instrumentation Engineering (ICPCSI)",Real time processing technologies in big data: Comparative study,2
IEEE International Conference on Progress in Informatics and Computing,Predicting the Next Process Event Using Convolutional Neural Networks,18
"IEEE International Conference on Recent Trends in Electronics, Information & Communication Technology",A framework for software quality model selection using TOPSIS,21
IEEE International Conference on Software Engineering and Service Science (ICSESS),Machine learning for predictive maintenance of industrial machines using IoT sensor data,201
IEEE International Conference on the Experience of Designing and Application of CAD Systems (CADSM),A Configuration Analysis of Ukrainian Flight Routes Network,23
IEEE International Conference on the Experience of Designing and Application of CAD Systems (CADSM),Model and Method for Detecting Request Signals in Identification Friend or Foe Systems,19
"IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)",Analysis of Data in Solving the Problem of Reducing the Accident Rate Through the Use of Special Means on Public Roads,39
"IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)",Methods and Tools for Developing an Organization Development Strategy,32
"IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)",Analysis of the Influence of Factors on Flight Delays in the United States Using the Construction of a Mathematical Model and Regression Analysis,31
"IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",Fog Computing: A Review on Integration of Cloud Computing and Internet of Things,17
IEEE International conference for Convergence in Technology (I2CT),Efficient Big Data Storage and Retrieval in Distributed Architecture using Blockchain and IPFS,12
IEEE Joint International Information Technology and Artificial Intelligence Conference,The Actor Model based Distributed Fault Tolerant Control System,1
"IEEE Open Conference of Electrical, Electronic and Information Sciences (eStream)",Search by Image Engine for Big Data Warehouse,12
IEEE Ukraine Conference on Electrical and Computer Engineering (UKRCON),Optimal Request Signals Detection in Cooperative Surveillance Systems,14
IEEE Ukraine Conference on Electrical and Computer Engineering (UKRCON),Optimization of Data Processing Structure for Multi-Position Radar Surveillance Systems,12
IFIP International Conference on Wireless and Optical Communications Networks,TREEPSI: tree based energy efficient protocol for sensor information,106
IOP Conference Series: Earth and Environment,Business process mining from e-commerce event web logs: Conformance checking and bottleneck identification,14
IOP Conference Series: Earth and Environment,A review on oil and gas pipelines corrosion growth rate modelling incorporating artificial intelligence approach,8
IOP Conference Series: Earth and Environment,The Study of Ecological Behavior of Youth in High School X in Jakarta,1
IOP Conference Series: Materials Science and Engineering,Data mining tools rapidminer: K-means method on clustering of rice crops by province as efforts to stabilize food crops in Indonesia,99
IOP Conference Series: Materials Science and Engineering,Decision support system for selection technique using MOORA method,40
IOP Conference Series: Materials Science and Engineering,"Big Data: Big Data Analysis, Issues and Challenges and Technologies",34
IOTA Programming System,Semantic data extraction over MQTT for IoTcentric wireless sensor networks,22
IST Africa Week Conference,Visualisation of Big Data in Agriculture and Rural Development,9
India International Conference on Information Processing (IICIP),"Performance analysis of MySQL partition, hive partition-bucketing and Apache Pig",8
Innovations in Intelligent Systems and Applications Conference (ASYU),"High-Performance Real-Time Data Processing: Managing Data Using Debezium, Postgres, Kafka, and Redis",3
International Balkan Conference on Communications and Networking (BalkanCom),Overview of Blockchain Data Storage and Privacy Protection,6
"International Conference Advances Computing, Communication and Automation","Machine Learning: An Ethical, Social Political Perspective",1
International Conference Automation and Computational Engineering,Ground Water Quality Monitoring Using Wireless Sensors and Machine Learning,3
"International Conference Electronic Systems, Signal Processing and Computing Technologies [ICESC ]",Novel Approach for Software Reliability Analysis Controlled with Multifunctional Machine Learning Approach,51
International Conference Intelligent Computing and Control Systems,Improving the security by using various cryptographic techniques in cloud computing,4
International Conference On Cyber Management And Engineering (CyMaEn),Effect of Human-Robot Interaction on the Fleet Size of AIV Transporters in FMS,8
International Conference for Emerging Technology (INCET),Estimation of Missing Data in Remote Sensing Images Using t-SVD based tensor completion,6
International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),Choquet Integral Operator based approach for renewable-energy-source-selection problems under Ambiguous Intuitionistic Fuzzy Environment,55
International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),Linear Quadratic Control Scheme for Isolatedand Inter-connected Power System,24
International Conference on Advanced Communication Technology,A semantic-based approach for representing successful graduate predictive rules,5
International Conference on Advanced Computing and Communication Systems (ICACCS),Trustworthiness of Artificial Intelligence,15
International Conference on Advanced Computing and Communication Systems (ICACCS),Big Data and its Analyzing Tools : A Perspective,5
"International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",Application Research of Text Classification Based on Random Forest Algorithm,22
International Conference on Advanced Infocomm Technology,Storage Structure of Student Record based on Hyperledger Fabric Blockchain,7
International Conference on Advancement in Computation & Computer Technologies (InCACCT),Smart Shoe Classification Using Artificial Intelligence on EfficientnetB3 Model,74
"International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)",Detecting and Identifying Storage issues using Blockchain Technology,3
International Conference on Advances in Electronics Computers and Communications,Signature based malware detection for unstructured data in Hadoop,21
International Conference on Advances in Engineering & Technology Research,MapReduce-based warehouse systems: A survey,7
International Conference on Applications of Natural Language to Data Bases,"Natural Language Processing and Information Systems, 14th International Conference on Applications of Natural Language to Information Systems, NLDB 2009, Saarbrcken, Germany, June 24-26, 2009. Revised Papers",45
International Conference on Applied Artificial Intelligence (ICAPAI),The application of artificial intelligence on different types of literature reviews - A comparative study,9
International Conference on Applied System Innovation,Blockchain and smart contract for digital certificate,214
International Conference on Applied System Innovation,A conversational user interface for supporting individual and group decision-making in stock investment activities,15
International Conference on Artificial Intelligence and Big Data Analytics,Classification of Water Potability Using Machine Learning Algorithms,18
International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),Deployment of Framework for Charging Electric Vehicle based on Various Topologies,22
International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),Framework for Deployment of Smart Motor Starter using Android Automation Tool,18
International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),Revolutionizing Healthcare With Cloud Computing: The Impact of Clinical Decision Support Algorithm,38
International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),Artificial Intelligence based Performance Models to Support Hydrologic Rainfall Conditions using Ensembling Approach,50
International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),Applications of Internet of Things in Smart Grid Intelligent Systems,24
International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),ETL based Billing System for Azure Services with Cost Estimation using Cloud Computing,15
"International Conference on Automation, Computing and Renewable Systems (ICACRS)",Data Extraction Approach using Natural Language Processing for Sentiment Analysis,41
"International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",Design and implementation of ship shore power data analysis system based on Doris data warehouse,5
International Conference on BioMedical Engineering and Informatics,Application WASP model on validation of reservoir-drinking water source protection areas delineation,7
International Conference on Business Management and Electronic Information,Ontologies in financial services: Design and applications,4
International Conference on Communication Software and Networks,Sentiment Classification Based on Ontology and SVM Classifier,35
International Conference on Communication Systems and Network Technologies,Secure MQTT for Internet of Things IoT,315
"International Conference on Communication, Computing and Internet of Things (IC3IoT)",The Significance of Big Data Analytics in the Global Healthcare Market,20
"International Conference on Communication, Information & Computing Technology",Big Data analytics,125
"International Conference on Computation, Automation and Knowledge Management (ICCAKM)",Impact of Artificial Intelligence and Cyber Security as Advanced Technologies on Bitcoin Industries,101
"International Conference on Computation, Automation and Knowledge Management (ICCAKM)",The Emergence of Artificial Intelligence and Machine Learning in Contemporary Business Management,58
"International Conference on Computation, Automation and Knowledge Management (ICCAKM)",Enterprise Human Resource Management Model By Artificial Intelligence Digital Technology,42
International Conference on Computational Collective Intelligence,Using the AHP and TOPSIS methods for decision making in best course selection after HSC,30
International Conference on Computational Collective Intelligence,Analysis of Intruder Detection in Big Data Analytics,29
International Conference on Computational Intelligence and Communication Networks,Predictive Neural Networks Model for Detection of Water Quality for Human Consumption,5
International Conference on Computational Intelligence and Software Engineering,Publishing Data of Ferdowsi University of Mashhad as Linked Data,9
International Conference on Computational Photography,Internet traffic classification using feed-forward neural network,24
"International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing, International Conference on Big Data Analytics, Data Mining and Computational Intelligence and International Conference on Theory and Practice in Modern Computing",COMPARATIVE STUDY OF NOSQL DATABASES FOR BIG DATA STORAGE,15
"International Conference on Computer Networks, Big Data and IoT (ICCBI )",Data Storage Security Issues in Cloud Computing,10
International Conference on Computer Research and Development,Identifying Quality Factors within Data Warehouse,8
International Conference on Computer Science and Engineering (UBMK),Big data analytics for network anomaly detection from netflow data,98
"International Conference on Computer, Communications, and Control Technology (I4CT)",Data warehouse for human resource by Ministry of Higher Education and Scientific Research,8
International Conference on Computing Communication Control and automation,An Empirical Comparison of Supervised Machine Learning Algorithms for Internet of Things Data,30
International Conference on Computing Communication and Networking Technologies,Data security in cloud using RSA,38
International Conference on Computing Communication and Networking Technologies,Querying RDF and OWL data source using SPARQL,19
International Conference on Computing and Communication Systems (I3CS),Impact of Big Data Analytics and ChatGPT on Cybersecurity,37
International Conference on Computing and Communication Technologies for Smart Nation (IC3TSN),NoSQL databases: Critical analysis and comparison,40
International Conference on Computing for Sustainable Global Development,A review of supervised machine learning algorithms,522
International Conference on Computing for Sustainable Global Development,Agricultural decision support framework for visualisation and prediction of Western Australian crop production,9
"International Conference on Computing, Communication and Automation",Big data security issues and challenges,87
"International Conference on Computing, Power and Communication Technologies (GUCON)",A Review on Conventional Machine Learning vs Deep Learning,181
"International Conference on Computing, Power and Communication Technologies (GUCON)",Security of Multimedia in Cloud using Secret Shared Key,7
International Conference on Crowd Science and Engineering,A novel trust-based secure data aggregation for Internet of Things,22
International Conference on Cybernetics and Intelligent System (ICORIS),Decision Support System for High Achieving Students Selection Using AHP and TOPSIS,16
International Conference on E Business and Information System Security,Analysis of Problems and Trends of Decision Support Systems Development,13
International Conference on Education and Management Technology,Data warehouse based Architecture for Electronic Health Records for Rwanda,5
"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",CHMM for discovering intentional process model from event logs by considering sequence of activities,10
"International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology",Parameter-free motif discovery for time series data,19
International Conference on Electrical and Computing Technologies and Applications (ICECTA),Capacitive Detection and Quantification of Water Suspended Solids,2
"International Conference on Electrical, Electronics, and Optimization Techniques",Semantic integration with ontology based approach,3
International Conference on Electronic Packaging and iMAPS All Asia Conference,Welcome page,16
International Conference on Embedded and Multimedia Computing,Real-Time Recognition of Daily Human Activities Using a Single Tri-Axial Accelerometer,12
International Conference on Emerging Trends in Information Technology and Engineering (ic ETITE),A Review of Convolutional Neural Networks,571
International Conference on Futuristic Trends on Computational Analysis and Knowledge Management,Two layer security for data storage in cloud,5
International Conference on Green Computing and Internet of Things (ICGCIoT),Three step data security model for cloud computing based on RSA and steganography,47
"International Conference on I SMAC (IoT in Social, Mobile, Analytics and Cloud) (I SMAC)",Implications of Brewers Rule in Data Warehouse Design,34
International Conference on ICT and Knowledge Engineering,Process mining on medical treatment history using conformance checking,11
International Conference on ICT and Knowledge Engineering,Conformance analysis of outpatient data using process mining technique,3
International Conference on Image Analysis and Signal Processing,Security design for Instant Messaging system based on RSA and triple DES,4
"International Conference on Industrial Engineering, Management Science and Application",Analysis and Prediction Cost of Manufacturing Process Based on Process Mining,30
International Conference on Informatics and Computational Sciences (ICICoS),A Mixed Method using AHP-TOPSIS for Dryland Agriculture Crops Selection Problem,9
"International Conference on Informatics, Electronics and Vision",Water Quality Classification Using Data Mining Techniques: A Case Study on Wang River in Thailand,3
"International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)",Comparison of the E-LT vs ETL Method in Data Warehouse Implementation: A Qualitative Study,12
International Conference on Information Communication and Management,Process mining in oncology: A literature review,67
International Conference on Information Science and Cloud Computing Companion,Present Situation and Prospect of Data Warehouse Architecture under the Background of Big Data,6
International Conference on Information Technology and Applications in Biomedicine,An ontology of image representations for medical image mining,16
International Conference on Information and Software Technologies,A semantic data model for the interpretion of environmental streaming data,7
"International Conference on Information, Communication, Engineering and Technology (ICICET)",A Study of Apache Kafka in Big Data Stream Processing,64
International Conference on Innovation and Challenges in Cyber Security (ICICCS INBUSH),Selecting appropriate cloud solution for managing big data projects using hybrid AHP-entropy based assessment,17
International Conference on Innovative Computing and Cloud Computing,Homomorphic cloud computing scheme based on hybrid homomorphic encryption,27
International Conference on Innovative Data Communication Technologies and Application (ICIDCA),Right to Digital Privacy: A Technological Intervention of Blockchain and Big Data Analytics,12
International Conference on Innovative Mechanisms for Industry Applications,Docker for Multi-containers Web Application,15
International Conference on Innovative Practices in Technology and Management (ICIPTM),Artificial Intelligence led Industry 4.0 Application for Sustainable Development,47
International Conference on Innovative Practices in Technology and Management (ICIPTM),Growth of Cyber-crimes in Society 4.0,26
International Conference on Innovative Practices in Technology and Management (ICIPTM),Factors Affecting Awareness and Practices of Green Technology,24
International Conference on Intelligent Computing,Taekwondo Sports Test and Training Data Management Using Blockchain,15
International Conference on Intelligent Computing and Control (I2C2),Heart disease prediction using data mining techniques,192
International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),Implementation of Motorist Weariness Detection System using a Conventional Object Recognition Technique,32
International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),Framework for Implementation of Personality Inventory Model on Natural Language Processing with Personality Traits Analysis,20
International Conference on Intelligent Engineering Systems,Process mining in production systems,5
International Conference on Intelligent Engineering and Management (ICIEM),Framework for Design and Implementation of Chat Support System using Natural Language Processing,59
International Conference on Intelligent Engineering and Management (ICIEM),Implementation of Machine Learning Classification Techniques for Intrusion Detection System,28
International Conference on Intelligent Engineering and Management (ICIEM),Framework for Implementation of Android Automation Tool in Agro Business Sector,26
International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),Ontology Based Web Page Classification System by Using Enhanced C4.5 and Nave Bayesian Classifiers,4
International Conference on Interaction Sciences,A novel model for mining association rules from semantic web data,9
International Conference on Interaction Sciences,Improving Star Join Queries Performance: A Maximal Frequent Pattern Based Approach for Automatic Selection of Indexes in Relational Data Warehouses,1
International Conference on Machine Intelligence and Research Advancement,Data Mining: Data Mining Concepts and Techniques,243
International Conference on Management Science and Engineering,Optimal Planning on Gate System on Container Terminals Based on Simulation Optimization Method and Case Study,5
"International Conference on Mechanical, Electronics, Computer, and Industrial Technology (MECnIT)",Decision Support System for Academic Administration Staff Achievement in STMIK IBBI Using TOPSIS-HFLTS Method,9
"International Conference on Modern Problems of Radio Engineering, Telecommunications and Computer Science",Model for Wind-Related Phenomena Estimation Using Polarization Characteristics of Microwave Radar Signal,11
"International Conference on Modern Problems of Radio Engineering, Telecommunications and Computer Science",Correlation analysis traffic intensity of the motor vehicles and the air pollution by their harmful emissions,10
International Conference on Network and Information Systems for Computers,On the Research of Data Warehouse in Big Data,3
International Conference on Pervasive Computing and Applications,Survey on NoSQL database,861
International Conference on Pervasive Computing and Social Networking (ICPCSN),Schema Design with Intelligent Multi Modelling Edge Computing Techniques for Industrial Applications,84
International Conference on Pervasive Computing and Social Networking (ICPCSN),Framework for IOT Based Real-Time Monitoring System of Rainfall Water Level for Flood Prediction Using LSTM Network,22
International Conference on Pervasive Computing and Social Networking (ICPCSN),Framework for Assessment of Bitcoin Price Prediction Using Ensembling Machine Learning Approach,12
International Conference on Power Electronics & IoT Applications in Renewable Energy and its Control (PARC),A New Approach for Security in Cloud Data Storage for IOT Applications Using Hybrid Cryptography Technique,38
"International Conference on Power Energy, Environment & Intelligent Control (PEEIC)",A Study and Performance Review of an On-Grid PV Solar Plant Using Artificial Intelligence,36
"International Conference on Power, Automation and Communication (INPAC)",Enhancing the data security in Cloud by implementing hybrid Rsa Aes encryption algorithm,95
"International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",Development of a Robust Stock Market Prediction Mechanism based on Enhanced Comprehensive Learning Principles,43
"International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",An Experiment to Develop an Enhanced Medical Image Security by using Deep Learning Assisted Crypto Policy,40
International Conference on Safety Produce Informatization (IICSPI),The Design and Implementation of Catering Safety Tracing System Based on Block Chain,2
International Conference on Science Technology Engineering and Mathematics (ICONSTEM),Ethically Governed Artificial Intelligence Based Innovative Business Research in Finance and Marketing System,44
International Conference on Science Technology Engineering and Mathematics (ICONSTEM),A Novel Dynamic Watermarking for Secure Data Protection from Cyber Theft Based on Artificial Intelligence Supervision,38
International Conference on Science Technology Engineering and Mathematics (ICONSTEM),Research and Innovation to Market Development: Artificial Intelligence in Business,37
International Conference on Science in Information Technology,Patterns of fraud detection using coupled Hidden Markov Model,9
International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),Revolutinoning AI: Artificial Intelligence Based Crypto Currency Farm Mining Application Design Using Federated Deep Learning Principles,37
International Conference on Service Systems and Service Management,"A supply chain traceability system for food safety based on HACCP, blockchain Internet of things",669
International Conference on Signal Processing and Communication (ICPSC),A Blockchain-Based Distributed Storage Network to Manage Growing Data Storage Needs,6
"International Conference on Signal Processing, Computing and Control (ISPCC)",Analogize process mining techniques in healthcare: Sepsis case study,7
International Conference on Smart Cities,Surface Water Pollution Detection using Internet of Things,55
International Conference on Smart Computing and Electronic Enterprise (ICSCEE),Big Data Visualization: Allotting by R and Python with GUI Tools,22
International Conference on Smart and Sustainable Technologies (SpliTech),Make Users Own Their Data: A Decentralized Personal Data Store Prototype Based on Ethereum and IPFS,28
International Conference on Sustainable Islamic Business and Finance,Textual analysis of moral components in Islamic and Non-Islamic business in Russia,2
"International Conference on Systems, Signals, and Image Processing",Multimodal biometric authentication using speech and hand geometry fusion,22
International Conference on Technological Advancements in Computational Sciences (ICTACS),Design and Implementation of IoT based Framework for Air Quality Sensing and Monitoring,33
International Conference on Technological Advancements in Computational Sciences (ICTACS),Deep Learning based Drowsiness Detection and Monitoring using Behavioural Approach,29
International Conference on Vision Towards Emerging Trends in Communication and Networking (ViTECoN),Immediate Detection of Data Corruption by Integrating Blockchain in Cloud Computing,5
International Conference on the Digital Society,Big Data Processing: Batch-based processing and stream-based processing,11
International Conference on the Software Process,A Survey of Fine-Grained Image Categorization,8
International Conferences on Contemporary Computing and Informatics,Wireless requirements and challenges in Industry 4.0,194
International Conferences on Data Science and Engineering,Pruning of Random Forest classifiers: A survey and future directions,140
International Congress on Information and Communication Technology,Artificial Intelligence Integrated with Big Data Analytics for Enhanced Marketing,55
International Congress on Information and Communication Technology,Comparative Study of Big Data Frameworks,27
International Joint Conference on Computer Science and Software Engineering,Selecting students to a dormitory using AHP,8
International Mobile and Embedded Technology Conference (MECON),Reducing Resource and Energy Consumption in Cryptocurrency Mining by using both Proof-of-Stake Algorithm and Renewable Energy,17
International Multi Topic Conference,Collaborative Health Care Plan through Crowdsource Data using Ambient Application,31
International Ontology for the Intelligence Community,Facebooks data center network architecture,156
International Radar Conference,A quantitative method for mono- and multistatic radar coverage area prediction,23
International Radar Conference,Multistatic Radar Deployment within A Non-Connected Region,2
International Scientific Practical Conference Problems of Infocommunications Science and Technology,Investigation of queue utilization on network routers by the use of dynamic models,15
International Scientific Practical Conference Problems of Infocommunications Science and Technology,Fusion of Discrete Evaluation of the State Vector of Air Objects Based on 4D Measurement,2
International Symposium on Combinatorial Optimization,Unscented Kalman filter based nonlinear state estimation case study Nonlinear process control reactor Continuous stirred tank reactor,5
International Symposium on High capacity Optical Networks and Enabling Technologies,IoT based dynamic road traffic management for smart cities,99
International Workshop on Document Analysis Systems,Data Lake Approaches: A Survey,13
Irish Signals and Systems Conference,Green Machine Learning: Analysing the Energy Efficiency of Machine Learning Models,3
Italian Conference on Theoretical Computer Science,Threat Hunting Using GRR Rapid Response,19
Journal of Physics: Conference Series,Machine Learning from Theory to Algorithms: An Overview,490
Journal of Physics: Conference Series,Gamification Framework Design of Management Education and Development in Industrial Revolution 4.0,79
Journal of Physics: Conference Series,Decision Tree Optimization in C4.5 Algorithm Using Genetic Algorithm,66
"LACCEI international multi conference for engineering, education and technology",Evaluation of operational process variables in healthcare using process mining and data visualization techniques,10
MEC International Conference on Big Data and Smart City (ICBDSC),Opinion mining from student feedback data using supervised learning algorithms,81
National Conference on E Learning & E Learning Technologies (ELELTECH),Recommender system for big data in education,75
National Conference on E Learning & E Learning Technologies (ELELTECH),Implementation of learning analytics framework for MOOCs using state-of-the-art in-memory computing,13
National Conference on Information Assurance (NCIA),"Security Analytics: Big Data Analytics for cybersecurity: A review of trends, techniques and tools",149
Optical Fiber Communication Conference and Exposition and the National Fiber Optic Engineers Conference,The emerging optical data center,138
Other Conferences,Hyperspectral and mutispectral image fusion via coupled block term decomposition with graph Laplacian regularization,2
Photovoltaic Specialists Conference,Solar Data Tools: Automatic Solar Data Processing Pipeline,13
Regional conference series in applied mathematics,A theory of indexing,154
SMART,Conversational commerce a new era of e-business,20
System Configuration Management,A New Direction in Artificial Intelligence: Measuring Artificial Intelligence,0
"The Electrical Engineering/ Electronics, Computer, Telecommunications and Information Technology (ECTI) Association of Thailand Conference",Discovery of variable length time series motif,33
WASE International Conference on Information Engineering,Research and Design on Library Management System Based on Struts and Hibernate Framework,15
World Conference on Communication & Computing (WCONF),Artificial Intelligence Based Models to Support Water Quality Prediction using Machine Learning Approach,42
World Conference on Communication & Computing (WCONF),Software Reliability Analysis with Various Metrics using Ensembling Machine Learning Approach,16
World Conference on Communication & Computing (WCONF),Hybrid Model to Predict Leaf Disease Prediction Using Ensembling Machine Learning Approach,12
World Conference on Futuristic Trends in Research and Innovation for Social Welfare (Startup Conclave),Enhanced cloud security framework to confirm data security on asymmetric and symmetric key encryption,34
"World Conference on Smart Trends in Systems, Security and Sustainability (WorldS4)",Big data and Spark: Comparison with Hadoop,7
